Product Name,SKU,Category,Regular Price,Offer Price,Stock,Colours,Sizes,Age Group,Image Filenames,Description,Publish,Featured
GIRLS WEAR,JKC-D-101,Kids Top + Bottom Pant Set,499,349,20,Brown | Orange,2-6Y,2-6 years,JKC-D-101-1.jpg|JKC-D-101-2.jpg,"?? Bio-Washed Fabric
? Zero Shrinkage
? Colour-Fade Resistant
? Top-Notch Quality
? Super Stylish Prints
? Premium Finishing
? Comfortable Kids Wear

?? QUALITY GUARANTEE:",Yes,Yes
GIRLS WEAR,JKC-D-102,Kids Top + Bottom Pant Set,499,349,20,Orange | Green,2-6Y,2-6 years,JKC-D-102-1.jpg|JKC-D-102-2.jpg,"?? Bio-Washed Fabric
? Zero Shrinkage
? Colour-Fade Resistant
? Top-Notch Quality
? Super Stylish Prints
? Premium Finishing
? Comfortable Kids Wear

?? QUALITY GUARANTEE:",Yes,Yes
GIRLS WEAR,JKC-D-103,Kids Top + Bottom Pant Set,499,349,20,Sky blue | Dark blue,2-6Y,2-6 years,JKC-D-103-1.jpg|JKC-D-103-2.jpg,"?? Bio-Washed Fabric
? Zero Shrinkage
? Colour-Fade Resistant
? Top-Notch Quality
? Super Stylish Prints
? Premium Finishing
? Comfortable Kids Wear

?? QUALITY GUARANTEE:",Yes,Yes
GIRLS WEAR,JKC-D-104,Kids Top + Bottom Pant Set,499,349,20,Yello | Black,2-6Y,2-6 years,JKC-D-104-1.jpg|JKC-D-104-2.jpg,"?? Bio-Washed Fabric
? Zero Shrinkage
? Colour-Fade Resistant
? Top-Notch Quality
? Super Stylish Prints
? Premium Finishing
? Comfortable Kids Wear

?? QUALITY GUARANTEE:",Yes,Yes
GIRLS WEAR,JKC-D-105,Kids Top + Bottom Pant Set,499,349,20,,2-6Y,2-6 years,JKC-D-105-1.jpg|JKC-D-105-2.jpg,"?? Bio-Washed Fabric
? Zero Shrinkage
? Colour-Fade Resistant
? Top-Notch Quality
? Super Stylish Prints
? Premium Finishing
? Comfortable Kids Wear

?? QUALITY GUARANTEE:",Yes,Yes
GIRLS WEAR,JKC-D-106,Kids Top + Bottom Pant Set,499,349,20,,2-6Y,2-6 years,JKC-D-106-1.jpg|JKC-D-106-2.jpg,"?? Bio-Washed Fabric
? Zero Shrinkage
? Colour-Fade Resistant
? Top-Notch Quality
? Super Stylish Prints
? Premium Finishing
? Comfortable Kids Wear

?? QUALITY GUARANTEE:",Yes,Yes
GIRLS WEAR,JKC-D-107,Kids Top + Bottom Pant Set,499,349,20,,2-6Y,2-6 years,JKC-D-107-1.jpg,"?? Bio-Washed Fabric
? Zero Shrinkage
? Colour-Fade Resistant
? Top-Notch Quality
? Super Stylish Prints
? Premium Finishing
? Comfortable Kids Wear

?? QUALITY GUARANTEE:",Yes,Yes
GIRLS WEAR,JKC-D-108,Kids Top + Bottom Pant Set,499,349,20,,2-6Y,2-6 years,JKC-D-108-1.jpg,"?? Bio-Washed Fabric
? Zero Shrinkage
? Colour-Fade Resistant
? Top-Notch Quality
? Super Stylish Prints
? Premium Finishing
? Comfortable Kids Wear

?? QUALITY GUARANTEE:",Yes,Yes
GIRLS WEAR,JKC-D-109,Kids Top + Bottom Pant Set,499,349,20,,2-6Y,2-6 years,JKC-D-109-1.jpg,"?? Bio-Washed Fabric
? Zero Shrinkage
? Colour-Fade Resistant
? Top-Notch Quality
? Super Stylish Prints
? Premium Finishing
? Comfortable Kids Wear

?? QUALITY GUARANTEE:",Yes,Yes
GIRLS WEAR,JKC-D-110,Kids Top + Bottom Pant Set,499,349,20,,2-6Y,2-6 years,JKC-D-110-1.jpg,"?? Bio-Washed Fabric
? Zero Shrinkage
? Colour-Fade Resistant
? Top-Notch Quality
? Super Stylish Prints
? Premium Finishing
? Comfortable Kids Wear

?? QUALITY GUARANTEE:",Yes,Yes
GIRLS WEAR,JKC-D-111,Kids Top + Bottom Pant Set,499,349,20,,2-6Y,2-6 years,JKC-D-111-1.jpg,"?? Bio-Washed Fabric
? Zero Shrinkage
? Colour-Fade Resistant
? Top-Notch Quality
? Super Stylish Prints
? Premium Finishing
? Comfortable Kids Wear

?? QUALITY GUARANTEE:",Yes,Yes
